source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,22,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-08-24,Famalicao,Gil Vicente,0,0,D,,,,Matchday 3,source_reported_FT,FC Famalicão,Gil Vicente FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,33,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-08-31,Santa Clara,Estrela,0,0,D,,,,Matchday 4,source_reported_FT,CD Santa Clara,CF Estrela da Amadora
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,50,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-09-21,Tondela,Estrela,0,0,D,,,,Matchday 6,source_reported_FT,CD Tondela,CF Estrela da Amadora
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,62,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-09-28,Famalicao,Rio Ave,0,0,D,,,,Matchday 7,source_reported_FT,FC Famalicão,Rio Ave FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,72,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-10-05,Porto,Benfica,0,0,D,,,,Matchday 8,source_reported_FT,FC Porto,Sport Lisboa e Benfica
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,117,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-12-08,Guimaraes,Gil Vicente,0,0,D,,,,Matchday 13,source_reported_FT,Vitória Guimarães,Gil Vicente FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,129,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-12-20,Estrela,Moreirense,0,0,D,,,,Matchday 15,source_reported_FT,CF Estrela da Amadora,Moreirense FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,132,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-12-21,Santa Clara,Arouca,0,0,D,,,,Matchday 15,source_reported_FT,CD Santa Clara,FC Arouca
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,138,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2025-12-28,Casa Pia,Guimaraes,0,0,D,,,,Matchday 16,source_reported_FT,Casa Pia AC,Vitória Guimarães
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,178,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-02-01,Tondela,Benfica,0,0,D,,,,Matchday 20,source_reported_FT,CD Tondela,Sport Lisboa e Benfica
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,185,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-02-08,Nacional,Casa Pia,0,0,D,,,,Matchday 21,source_reported_FT,CD Nacional,Casa Pia AC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,210,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-02-28,AVS,Estrela,0,0,D,,,,Matchday 24,source_reported_FT,AVS,CF Estrela da Amadora
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,215,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-03-01,Rio Ave,Famalicao,0,0,D,,,,Matchday 24,source_reported_FT,Rio Ave FC,FC Famalicão
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,221,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-03-07,Estoril,Casa Pia,0,0,D,,,,Matchday 25,source_reported_FT,GD Estoril Praia,Casa Pia AC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,218,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-03-07,FC Alverca,AVS,0,0,D,,,,Matchday 25,source_reported_FT,FC Alverca,AVS
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,238,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-03-21,Tondela,AVS,0,0,D,,,,Matchday 27,source_reported_FT,CD Tondela,AVS
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,262,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-04-18,Casa Pia,Santa Clara,0,0,D,,,,Matchday 30,source_reported_FT,Casa Pia AC,CD Santa Clara
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,287,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-05-03,Rio Ave,Gil Vicente,0,0,D,,,,Matchday 32,source_reported_FT,Rio Ave FC,Gil Vicente FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2025-26/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,294,2026-09-04T23:33:53Z,Primeira Liga,2025-26,2026-05-11,Estrela,Famalicao,0,0,D,,,,Matchday 33,source_reported_FT,CF Estrela da Amadora,FC Famalicão
