file,rows,bytes
eerste_divisie_2016-17.csv,380,87506
eerste_divisie_2017-18.csv,380,87924
eerste_divisie_2018-19.csv,380,88000
eerste_divisie_2019-20.csv,290,67297
eliteserien_2024.csv,180,46406
eliteserien_2025.csv,203,44861
eliteserien_2026.csv,89,19640
mls_2024.csv,403,93900
mls_2025.csv,629,146114
mls_2026.csv,218,50953
saudi_pro_league_2017-18.csv,186,52040
saudi_pro_league_2018-19.csv,240,55600
saudi_pro_league_2019-20.csv,176,40524
saudi_pro_league_2020-21.csv,304,69906
saudi_pro_league_2021-22.csv,240,54910
saudi_pro_league_2022-23.csv,240,55030
saudi_pro_league_2023-24.csv,306,70056
