source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,1,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-15,Alaves,Getafe,3,0,H,0,0,D,Matchday 1,source_reported_FT,Deportivo Alavés,Getafe CF
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,2,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-15,Sevilla,Vallecano,2,1,H,0,1,A,Matchday 1,source_reported_FT,Sevilla FC,Rayo Vallecano de Madrid
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,3,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-16,Santander,Villarreal,2,2,D,2,2,D,Matchday 1,source_reported_FT,Real Racing Club de Santander,Villarreal CF
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,4,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-16,Espanol,Levante,3,0,H,2,0,H,Matchday 1,source_reported_FT,RCD Espanyol de Barcelona,Levante UD
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,5,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-17,La Coruna,Elche,1,1,D,1,0,H,Matchday 1,source_reported_FT,RC Deportivo La Coruña,Elche CF
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,6,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-19,Ath Madrid,Malaga,2,0,H,0,0,D,Matchday 1,source_reported_FT,Club Atlético de Madrid,Málaga CF
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,7,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-20,Vallecano,Alaves,1,1,D,0,0,D,Matchday 2,source_reported_FT,Rayo Vallecano de Madrid,Deportivo Alavés
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,8,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-21,Betis,Sociedad,1,0,H,0,0,D,Matchday 2,source_reported_FT,Real Betis Balompié,Real Sociedad de Fútbol
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,9,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-22,Ath Bilbao,Sevilla,1,3,A,0,1,A,Matchday 2,source_reported_FT,Athletic Club,Sevilla FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,10,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-22,Valencia,Celta,0,0,D,,,,Matchday 2,source_reported_FT,Valencia CF,RC Celta de Vigo
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,11,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-22,Espanol,Real Madrid,1,2,A,1,1,D,Matchday 2,source_reported_FT,RCD Espanyol de Barcelona,Real Madrid CF
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,12,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-23,Ath Madrid,Villarreal,2,2,D,0,0,D,Matchday 2,source_reported_FT,Club Atlético de Madrid,Villarreal CF
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,13,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-23,Getafe,Santander,1,0,H,0,0,D,Matchday 2,source_reported_FT,Getafe CF,Real Racing Club de Santander
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,14,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-23,Elche,Barcelona,0,5,A,0,2,A,Matchday 2,source_reported_FT,Elche CF,FC Barcelona
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,15,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-24,Osasuna,Levante,0,0,D,,,,Matchday 2,source_reported_FT,CA Osasuna,Levante UD
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/es.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,16,2026-09-04T23:33:53Z,La Liga,2026-27,2026-08-24,Malaga,La Coruna,1,1,D,1,1,D,Matchday 2,source_reported_FT,Málaga CF,RC Deportivo La Coruña
