source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,1,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-21,Marseille,Strasbourg,4,0,H,0,0,D,Matchday 1,source_reported_FT,Olympique de Marseille,RC Strasbourg Alsace
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,2,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-22,Lens,Auxerre,5,2,H,1,0,H,Matchday 1,source_reported_FT,Racing Club de Lens,AJ Auxerre
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,3,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-22,Le Mans,Brest,2,2,D,1,1,D,Matchday 1,source_reported_FT,Le Mans FC,Stade Brestois 29
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,4,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-22,Troyes,Paris FC,0,0,D,,,,Matchday 1,source_reported_FT,ES Troyes AC,Paris FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,5,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-22,Nice,Lorient,0,0,D,,,,Matchday 1,source_reported_FT,OGC Nice,FC Lorient
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,6,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-22,Toulouse,Lyon,0,2,A,0,0,D,Matchday 1,source_reported_FT,Toulouse FC,Olympique Lyonnais
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,7,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-23,Angers,Lille,0,2,A,0,2,A,Matchday 1,source_reported_FT,Angers SCO,Lille OSC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,8,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-23,Le Havre,Monaco,0,1,A,0,1,A,Matchday 1,source_reported_FT,Le Havre AC,AS Monaco FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,9,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-23,Rennes,Paris SG,2,2,D,2,0,H,Matchday 1,source_reported_FT,Stade Rennais FC 1901,Paris Saint-Germain FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/fr.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,10,2026-09-04T23:33:53Z,Ligue 1,2026-27,2026-08-28,Lille,Paris SG,2,2,D,1,0,H,Matchday 2,source_reported_FT,Lille OSC,Paris Saint-Germain FC
