source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,1,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-22,Udinese,Como,1,1,D,1,0,H,Matchday 1,source_reported_FT,Udinese Calcio,Como 1907
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,2,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-22,Inter,Monza,4,1,H,1,1,D,Matchday 1,source_reported_FT,FC Internazionale Milano,AC Monza
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,3,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-22,Genoa,Napoli,0,2,A,0,0,D,Matchday 1,source_reported_FT,Genoa CFC,SSC Napoli
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,4,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-22,Parma,Cagliari,0,1,A,0,0,D,Matchday 1,source_reported_FT,Parma Calcio 1913,Cagliari Calcio
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,5,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-23,Frosinone,Juventus,0,1,A,0,1,A,Matchday 1,source_reported_FT,Frosinone Calcio,Juventus FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,6,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-23,Venezia,Lecce,0,2,A,0,0,D,Matchday 1,source_reported_FT,Venezia FC,US Lecce
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,7,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-23,Atalanta,Sassuolo,2,1,H,1,0,H,Matchday 1,source_reported_FT,Atalanta BC,US Sassuolo Calcio
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,8,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-23,Torino,Milan,1,2,A,0,0,D,Matchday 1,source_reported_FT,Torino FC,AC Milan
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,9,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-24,Bologna,Lazio,0,1,A,0,0,D,Matchday 1,source_reported_FT,Bologna FC 1909,SS Lazio
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/it.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,10,2026-09-04T23:33:53Z,Serie A,2026-27,2026-08-24,Roma,Fiorentina,4,0,H,1,0,H,Matchday 1,source_reported_FT,AS Roma,ACF Fiorentina
