source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,1,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-07,Cambuur,Excelsior,0,4,A,0,3,A,Matchday 1,source_reported_FT,SC Cambuur-Leeuwarden,SBV Excelsior
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,2,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-08,Nijmegen,Telstar,1,2,A,0,2,A,Matchday 1,source_reported_FT,NEC,Telstar 1963
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,3,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-08,Go Ahead Eagles,Willem II,4,1,H,1,1,D,Matchday 1,source_reported_FT,Go Ahead Eagles,Willem II Tilburg
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,4,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-08,PSV Eindhoven,For Sittard,2,2,D,0,1,A,Matchday 1,source_reported_FT,PSV,Fortuna Sittard
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,5,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-08,AZ Alkmaar,Den Haag,2,0,H,0,0,D,Matchday 1,source_reported_FT,AZ,ADO Den Haag
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,6,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-09,Sparta Rotterdam,Feyenoord,0,1,A,0,1,A,Matchday 1,source_reported_FT,Sparta Rotterdam,Feyenoord Rotterdam
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,7,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-09,Groningen,Utrecht,2,1,H,1,0,H,Matchday 1,source_reported_FT,FC Groningen,FC Utrecht
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,8,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-09,Zwolle,Ajax,0,2,A,0,0,D,Matchday 1,source_reported_FT,PEC Zwolle,AFC Ajax
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,9,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-09,Heerenveen,Twente,1,0,H,0,0,D,Matchday 1,source_reported_FT,SC Heerenveen,FC Twente '65
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/nl.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,10,2026-09-04T23:33:53Z,Eredivisie,2026-27,2026-08-14,Telstar,Sparta Rotterdam,1,3,A,0,1,A,Matchday 2,source_reported_FT,Telstar 1963,Sparta Rotterdam
