source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,1,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-07,Estoril,Famalicao,1,1,D,0,1,A,Matchday 1,source_reported_FT,GD Estoril Praia,FC Famalicão
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,2,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-08,Maritimo,Casa Pia,1,0,H,0,0,D,Matchday 1,source_reported_FT,CS Marítimo,Casa Pia AC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,3,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-08,Guimaraes,Arouca,0,1,A,0,0,D,Matchday 1,source_reported_FT,Vitória Guimarães,FC Arouca
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,4,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-08,Estrela,Sp Lisbon,2,2,D,0,0,D,Matchday 1,source_reported_FT,CF Estrela da Amadora,Sporting Clube de Portugal
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,5,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-09,Porto,FC Alverca,2,0,H,2,0,H,Matchday 1,source_reported_FT,FC Porto,FC Alverca
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,6,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-09,Moreirense,Sp Braga,2,2,D,1,1,D,Matchday 1,source_reported_FT,Moreirense FC,Sporting Clube de Braga
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,7,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-09,Gil Vicente,Rio Ave,1,0,H,0,0,D,Matchday 1,source_reported_FT,Gil Vicente FC,Rio Ave FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,8,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-09,Benfica,Viseu,2,2,D,1,0,H,Matchday 1,source_reported_FT,Sport Lisboa e Benfica,Académico de Viseu FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,9,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-10,Santa Clara,Nacional,2,2,D,2,2,D,Matchday 1,source_reported_FT,CD Santa Clara,CD Nacional
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,10,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-14,Sp Lisbon,Guimaraes,3,2,H,3,0,H,Matchday 2,source_reported_FT,Sporting Clube de Portugal,Vitória Guimarães
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,11,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-15,FC Alverca,Estrela,2,2,D,0,0,D,Matchday 2,source_reported_FT,FC Alverca,CF Estrela da Amadora
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,12,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-15,Viseu,Santa Clara,0,1,A,0,1,A,Matchday 2,source_reported_FT,Académico de Viseu FC,CD Santa Clara
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,13,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-15,Rio Ave,Porto,0,2,A,0,1,A,Matchday 2,source_reported_FT,Rio Ave FC,FC Porto
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,15,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-16,Nacional,Estoril,2,0,H,0,0,D,Matchday 2,source_reported_FT,CD Nacional,GD Estoril Praia
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,16,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-16,Arouca,Moreirense,4,0,H,3,0,H,Matchday 2,source_reported_FT,FC Arouca,Moreirense FC
openfootball/football.json,https://raw.githubusercontent.com/openfootball/football.json/8aa4cd0ce0410b21037f063eeb4edd981081d85d/2026-27/pt.1.json,8aa4cd0ce0410b21037f063eeb4edd981081d85d,17,2026-09-04T23:33:53Z,Primeira Liga,2026-27,2026-08-16,Famalicao,Maritimo,1,2,A,1,1,D,Matchday 2,source_reported_FT,FC Famalicão,CS Marítimo
