source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,001,2026-09-20T04:01:24Z,Asian Games Men,2026,2026-09-16,China U23,North Korea U23,2,1,H,1,1,D,,90_minutes,中国U23,朝鲜U23
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,002,2026-09-20T04:01:24Z,AFC Champions League Elite,2026-27,2026-09-16,Jeonbuk Hyundai Motors,Kashiwa Reysol,2,1,H,0,1,A,,90_minutes,全北现代,柏太阳神
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,003,2026-09-20T04:01:24Z,Asian Games Men,2026,2026-09-16,Japan U23,Hong Kong U23,2,0,H,1,0,H,,90_minutes,日本U23,中国香港U23
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,004,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-17,Omonia,Celta Vigo,1,0,H,0,0,D,,90_minutes,奥莫尼亚,塞尔塔
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,005,2026-09-20T04:01:24Z,La Liga,2026-27,2026-09-17,Deportivo La Coruna,Sevilla,0,1,A,0,0,D,,90_minutes,拉科鲁尼亚,塞维利亚
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,006,2026-09-20T04:01:24Z,La Liga,2026-27,2026-09-17,Atletico Madrid,Osasuna,4,0,H,1,0,H,,90_minutes,马德里竞技,奥萨苏纳
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,007,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-17,AC Milan,Benfica,0,2,A,0,1,A,,90_minutes,AC米兰,本菲卡
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,008,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-17,Bayer Leverkusen,Celje,2,0,H,1,0,H,,90_minutes,勒沃库森,采列
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,009,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-17,Sunderland,AZ Alkmaar,1,0,H,0,0,D,,90_minutes,桑德兰,阿尔克马尔
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,010,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-17,Sturm Graz,Rennes,0,0,D,0,0,D,,90_minutes,格拉茨风暴,雷恩
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,011,2026-09-20T04:01:24Z,Europa League,2026-27,2026-09-17,Anderlecht,Lyon,1,2,A,0,2,A,,90_minutes,安德莱赫特,里昂
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,012,2026-09-20T04:01:24Z,EFL Cup,2026-27,2026-09-17,Coventry City,Aston Villa,1,3,A,1,2,A,,90_minutes,考文垂,阿斯顿维拉
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,013,2026-09-20T04:01:24Z,La Liga,2026-27,2026-09-17,Barcelona,Racing Santander,7,2,H,4,1,H,,90_minutes,巴塞罗那,桑坦德竞技
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,015,2026-09-20T04:01:24Z,Copa Libertadores,2026-27,2026-09-17,LDU Quito,Palmeiras,3,2,H,1,1,D,,90_minutes,基多体育大学,帕尔梅拉斯
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,016,2026-09-20T04:01:24Z,Brasileirao,2026,2026-09-17,Botafogo,Gremio,3,2,H,1,1,D,,90_minutes,博塔弗戈,格雷米奥
cpbao+zgzcw/result-crosscheck,https://www.cpbao.com/jc/jcResult!getJczcResultNew.action?matchDate=20260916&playType=FSPF&t=1,2026-09-20T04:01:24Z,017,2026-09-20T04:01:24Z,Copa Libertadores,2026-27,2026-09-17,Corinthians,Estudiantes,0,1,A,0,0,D,,90_minutes,科林蒂安,拉普拉塔大学生
