source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,11,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-28,FC Utrecht J,FC Eindhoven,1,2,A,0,1,A,Matchday 1,source_reported_FT,FC Utrecht J,FC Eindhoven
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,12,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-28,SC Cambuur,NEC Nijmegen,2,0,H,0,0,D,Matchday 1,source_reported_FT,SC Cambuur,NEC Nijmegen
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,14,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-29,Jong PSV,SBV Excelsior,1,6,A,0,2,A,Matchday 1,source_reported_FT,Jong PSV,SBV Excelsior
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,16,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-29,NAC Breda,AZ Alkmaar J,6,1,H,3,0,H,Matchday 1,source_reported_FT,NAC Breda,AZ Alkmaar J
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,15,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-29,TOP Oss,Helmond Sport,1,2,A,0,1,A,Matchday 1,source_reported_FT,TOP Oss,Helmond Sport
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,21,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-30,Almere City FC,MVV,0,0,D,,,,Matchday 1,source_reported_FT,Almere City FC,MVV
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,20,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-30,FC Dordrecht,Go Ahead Eagles,0,0,D,,,,Matchday 1,source_reported_FT,FC Dordrecht,Go Ahead Eagles
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,19,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-30,Jong Ajax,Roda JC Kerkrade,0,4,A,0,1,A,Matchday 1,source_reported_FT,Jong Ajax,Roda JC Kerkrade
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,18,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-30,Telstar,FC Volendam,2,2,D,2,1,H,Matchday 1,source_reported_FT,Telstar,FC Volendam
openfootball/europe,https://raw.githubusercontent.com/openfootball/europe/7faa522aef63fa9a6fcb9d8189bd8bc52381e967/netherlands/2020-21_nl2.txt,7faa522aef63fa9a6fcb9d8189bd8bc52381e967,23,2026-09-04T07:12:27.858Z,Eerste Divisie,2020-21,2020-08-31,De Graafschap,FC Den Bosch,4,2,H,1,0,H,Matchday 1,source_reported_FT,De Graafschap,FC Den Bosch
