source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,2,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-11,Aalesund,Stabaek,1,0,H,,,,,source_reported_FT,Aalesund,Stabaek
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,3,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-12,Odd,Rosenborg,1,0,H,,,,,source_reported_FT,Odd,Rosenborg
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,5,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-13,Bodo/Glimt,Sogndal,2,0,H,,,,,source_reported_FT,Bodo/Glimt,Sogndal
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,4,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-13,Molde,Tromso,1,1,D,,,,,source_reported_FT,Molde,Tromso
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,6,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-13,Sarpsborg 08,Haugesund,0,1,A,,,,,source_reported_FT,Sarpsborg 08,Haugesund
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,8,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-13,Start,Lillestrom,1,1,D,,,,,source_reported_FT,Start,Lillestrom
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,7,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-13,Stromsgodset,Brann,2,2,D,,,,,source_reported_FT,Stromsgodset,Brann
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,9,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-14,Valerenga,Viking,0,2,A,,,,,source_reported_FT,Valerenga,Viking
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,10,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-18,Tromso,Start,0,0,D,,,,,source_reported_FT,Tromso,Start
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,11,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-19,Haugesund,Aalesund,3,0,H,,,,,source_reported_FT,Haugesund,Aalesund
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,12,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-19,Rosenborg,Stromsgodset,1,0,H,,,,,source_reported_FT,Rosenborg,Stromsgodset
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,14,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-20,Brann,Odd,0,0,D,,,,,source_reported_FT,Brann,Odd
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,15,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-20,Lillestrom,Bodo/Glimt,1,1,D,,,,,source_reported_FT,Lillestrom,Bodo/Glimt
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,13,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-20,Sogndal,Valerenga,1,0,H,,,,,source_reported_FT,Sogndal,Valerenga
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,17,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-20,Stabaek,Molde,1,2,A,,,,,source_reported_FT,Stabaek,Molde
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,16,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-03-20,Viking,Sarpsborg 08,0,0,D,,,,,source_reported_FT,Viking,Sarpsborg 08
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,18,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-04-01,Molde,Lillestrom,4,2,H,,,,,source_reported_FT,Molde,Lillestrom
footballcsv/cache.footballdata,https://raw.githubusercontent.com/footballcsv/cache.footballdata/f43a2aa0c65fb061c87e9541e7a567dd58ff933a/2016/no.1.csv,f43a2aa0c65fb061c87e9541e7a567dd58ff933a,19,2026-09-04T07:11:15.790Z,Eliteserien,2016,2016-04-02,Start,Viking,0,1,A,,,,,source_reported_FT,Start,Viking
