source,source_url,source_revision,source_row,observed_at,league,season,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,round,score_period,home_team_raw,away_team_raw
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,3,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-11,Al-Raed,Al-Ittihad FC,2,3,A,,,,1,source_reported_FT,Al-Raed,Al-Ittihad FC
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,2,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-11,Al-Shabab,Al Qadisiya,0,0,D,,,,1,source_reported_FT,Al-Shabab,Al Qadisiya
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,6,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-12,Al Wehda,Al-Taawon,3,2,H,,,,1,source_reported_FT,Al Wehda,Al-Taawon
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,4,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-12,Al-Faisaly,Al Khaleej,3,1,H,,,,1,source_reported_FT,Al-Faisaly,Al Khaleej
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,5,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-12,Al-Nassr,Al-Fateh,4,1,H,,,,1,source_reported_FT,Al-Nassr,Al-Fateh
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,7,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-13,Al-Hilal,Al Batin,2,0,H,,,,1,source_reported_FT,Al-Hilal,Al Batin
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,8,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-14,Al-Ettifaq,Al Ahli SC,1,4,A,,,,1,source_reported_FT,Al-Ettifaq,Al Ahli SC
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,9,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-18,Al-Raed,Al Wehda,3,1,H,,,,2,source_reported_FT,Al-Raed,Al Wehda
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,10,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-19,Al Qadisiya,Al-Faisaly,1,1,D,,,,2,source_reported_FT,Al Qadisiya,Al-Faisaly
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,11,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-19,Al-Taawon,Al-Hilal,0,2,A,,,,2,source_reported_FT,Al-Taawon,Al-Hilal
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,12,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-20,Al Batin,Al-Shabab,1,0,H,,,,2,source_reported_FT,Al Batin,Al-Shabab
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,15,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-20,Al Khaleej,Al-Ittihad FC,2,3,A,,,,2,source_reported_FT,Al Khaleej,Al-Ittihad FC
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,14,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-20,Al-Ettifaq,Al-Nassr,1,0,H,,,,2,source_reported_FT,Al-Ettifaq,Al-Nassr
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,13,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-08-20,Al-Fateh,Al Ahli SC,0,1,A,,,,2,source_reported_FT,Al-Fateh,Al Ahli SC
alioh/Saudi-Professional-League-Datasets,https://raw.githubusercontent.com/alioh/Saudi-Professional-League-Datasets/191ad2bf5cbfbceff2caf8e3ed3a7042519b0858/SPL-2016-2017-FS.csv,191ad2bf5cbfbceff2caf8e3ed3a7042519b0858,16,2026-09-04T07:12:38.727Z,Saudi Pro League,2016-17,2016-09-16,Al Khaleej,Al Batin,2,2,D,,,,3,source_reported_FT,Al Khaleej,Al Batin
