season,date,local_time,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_result
2016-17,2016-09-13,20:45,Group A,FC Basel 1893,PFC Ludogorets Razgrad,1,1,0,1,D
2016-17,2016-09-13,,Group A,Paris Saint-Germain,Arsenal FC,1,1,1,0,D
2016-17,2016-09-28,20:45,Group A,Arsenal FC,FC Basel 1893,2,0,2,0,H
2016-17,2016-09-28,,Group A,PFC Ludogorets Razgrad,Paris Saint-Germain,1,3,1,1,A
2016-17,2016-10-19,20:45,Group A,Arsenal FC,PFC Ludogorets Razgrad,6,0,2,0,H
2016-17,2016-10-19,,Group A,Paris Saint-Germain,FC Basel 1893,3,0,1,0,H
2016-17,2016-11-01,20:45,Group A,FC Basel 1893,Paris Saint-Germain,1,2,0,1,A
2016-17,2016-11-01,,Group A,PFC Ludogorets Razgrad,Arsenal FC,2,3,2,2,A
2016-17,2016-11-23,20:45,Group A,Arsenal FC,Paris Saint-Germain,2,2,1,1,D
2016-17,2016-11-23,,Group A,PFC Ludogorets Razgrad,FC Basel 1893,0,0,,,D
2016-17,2016-12-06,20:45,Group A,FC Basel 1893,Arsenal FC,1,4,0,2,A
2016-17,2016-12-06,,Group A,Paris Saint-Germain,PFC Ludogorets Razgrad,2,2,0,1,D
2016-17,2016-09-13,20:45,Group B,Dinamo Kiev,SSC Napoli,1,2,1,2,A
2016-17,2016-09-13,,Group B,SL Benfica,Beşiktaş,1,1,1,0,D
2016-17,2016-09-28,20:45,Group B,Beşiktaş,Dinamo Kiev,1,1,1,0,D
2016-17,2016-09-28,,Group B,SSC Napoli,SL Benfica,4,2,1,0,H
2016-17,2016-10-19,20:45,Group B,Dinamo Kiev,SL Benfica,0,2,0,1,A
2016-17,2016-10-19,,Group B,SSC Napoli,Beşiktaş,2,3,1,2,A
2016-17,2016-11-01,18:45,Group B,Beşiktaş,SSC Napoli,1,1,0,0,D
2016-17,2016-11-01,20:45,Group B,SL Benfica,Dinamo Kiev,1,0,1,0,H
2016-17,2016-11-23,18:45,Group B,Beşiktaş,SL Benfica,3,3,0,3,D
2016-17,2016-11-23,20:45,Group B,SSC Napoli,Dinamo Kiev,0,0,,,D
2016-17,2016-12-06,20:45,Group B,Dinamo Kiev,Beşiktaş,6,0,4,0,H
2016-17,2016-12-06,,Group B,SL Benfica,SSC Napoli,1,2,0,0,A
2016-17,2016-09-13,20:45,Group C,FC Barcelona,Celtic FC,7,0,2,0,H
2016-17,2016-09-14,20:45,Group C,Manchester City,Bor. Mönchengladbach,4,0,2,0,H
2016-17,2016-09-28,20:45,Group C,Bor. Mönchengladbach,FC Barcelona,1,2,1,0,A
